@attribute mfcc_sma[12]_percentile1.0 numeric
@attribute mfcc_sma[14]_quartile1 numeric
@attribute lspFreq_sma[7]_amean numeric
@attribute lspFreq_sma[7]_quartile1 numeric
@attribute F0finEnv_sma_percentile99.0 numeric
@attribute F0final_sma_quartile1 numeric
@attribute pcm_loudness_sma_linregerrA numeric
@attribute pcm_loudness_sma_skewness numeric
@attribute mfcc_sma[1]_iqr2-3 numeric
@attribute gender {m,f}

@data

5.355489,0.088858,18.01357,0.196009,2.324037,178.7007,178.8399,0.032028,16.47726,-2.604649,171.7238,214.2479,217.5508,0.103203,-9.067137,-7.468521,-7.2452,200.0632,0.018029,-0.014527,0.256228,8.810519,-1.799374,0.596462,2.321963,230.2825,180.414,237.0093,-0.276708,-30.36548,-19.65989,-19.25899,2.309794,2.293725,239.0464,156.8956,0.279528,0.859604,5.243194,f
5.792249,0.089144,8.050667,0.600762,2.298497,153.4523,161.6861,0.236948,22.35423,-0.439663,147.9451,167.8504,173.315,0.072289,5.030648,4.435259,-4.2305,166.7149,0.016447,-0.014004,0.538153,1.599838,-4.134823,0.609841,2.298576,185.2722,162.5723,213.7948,-6.894942,-14.0513,-20.68917,-15.23127,2.280583,2.238727,209.9024,133.1551,0.13628,0.367398,6.409906,f
26.59238,0.057604,10.57932,0.623465,2.262985,129.0382,136.2085,0.202749,31.40129,-0.867348,134.1134,139.5209,149.1856,0.089347,4.423083,8.06221,-16.01706,138.9234,0.030665,-0.011499,0.463918,14.37177,-9.370593,0.541776,2.208833,152.2625,138.1056,159.1186,5.418244,-27.05977,-38.11884,-5.707784,2.249432,2.208415,157.5292,125.3721,0.520343,0.240289,11.8976,m
31.17876,0.063952,7.766306,0.809691,2.271027,143.5102,147.9818,0.159021,41.88648,-1.307653,142.0771,152.1246,160.6541,0.058104,5.547654,-1.191408,-13.30291,154.5482,0.028387,-0.000256,0.535168,17.7986,-9.918757,0.381305,2.257878,160.7264,149.2861,185.015,8.387858,-16.1634,-36.61713,-8.487492,2.260923,2.234811,237.6214,136.2113,0.416887,0.288912,7.368455,m
23.98223,0.073552,12.39934,1.456774,2.248355,97.19999,107.2898,0.15411,30.63411,-0.217436,104.3678,108.7545,116.8239,0.085616,-7.987413,-6.254704,-7.421068,110.3073,0.02767,-0.009427,0.561644,16.58547,-10.18293,0.538519,2.125076,122.3182,97.26286,166.1348,8.085931,-30.49225,-34.57858,-10.32214,2.19628,2.113286,145.9042,77.65244,0.60392,1.120708,5.555976,m
23.46252,0.073618,8.422665,0.962937,2.234839,103.5732,107.9507,0.155709,31.1592,-0.241044,104.1648,112.0855,126.1596,0.093426,-6.38898,-10.07291,-10.27042,110.2347,0.028903,-0.009326,0.615917,17.65194,-8.629931,0.51118,2.201314,127.2738,99.1144,188.6169,8.242611,-31.28554,-26.77246,-9.708447,2.197141,2.108449,159.5539,85.977,0.587311,0.767314,4.109367,m
25.22968,0.062471,15.44254,0.075255,2.302,196.1921,204.1304,0.105263,17.39757,-0.63014,171.1028,196.72,221.645,0.080972,-13.35507,-11.47767,-0.18087,195.5476,0.025538,-0.014757,0.404858,5.67506,-6.124228,0.479253,2.284778,223.4609,175.6023,251.0322,-4.066429,-45.97005,-36.77252,-18.93712,2.295059,2.259395,248.1375,181.8656,0.523362,0.140593,7.137698,f
29.02424,0.140117,13.97305,0.414017,2.275378,169.5711,176.2818,0.092251,33.74109,-0.075859,172.4368,177.0245,186.7589,0.092251,-9.211616,-1.198319,3.339589,179.1918,0.027618,-0.006063,0.369004,6.225206,0.232613,0.369321,2.25617,187.3592,176.1472,205.8538,-3.266067,-35.41019,-27.72818,-19.27379,2.25306,2.18169,203.1866,169.4483,0.627402,0.283439,4.882484,f
18.3741,0.102101,10.57807,0.653263,2.289867,158.5223,178.1443,0.020243,11.6671,-1.113052,160.5698,180.7623,191.3167,0.044534,-12.31622,-17.63286,-4.067154,175.0265,0.020602,-0.018635,0.230769,3.294678,-4.929947,0.477244,2.273549,191.6977,172.4662,236.5482,-2.119035,-44.92184,-27.46302,-16.46647,2.283843,2.261221,232.5147,123.9811,0.341341,1.236058,6.291018,f
19.72637,0.141281,9.675935,0.996886,2.280448,175.2432,196.923,0.038732,13.28814,-1.148803,184.1784,199.6041,206.2615,0.045775,-10.61596,-16.07011,-6.976385,197.0292,0.027287,-0.01127,0.271127,11.17138,-7.259174,0.49507,2.263272,207.879,201.0421,242.4694,2.167242,-38.77192,-26.51485,-14.22534,2.269991,2.241281,237.6397,147.0569,0.272993,0.594921,5.529407,f
