@attribute F0finEnv_sma_de_linregc2 numeric
@attribute lspFreq_sma_de[5]_linregerrQ numeric
@attribute F0finEnv_sma_percentile1.0 numeric
@attribute lspFreq_sma[7]_amean numeric
@attribute F0finEnv_sma_de_linregerrQ numeric
@attribute F0final_sma_de_linregerrQ numeric
@attribute mfcc_sma[12]_amean numeric
@attribute F0final_sma_de_stddev numeric
@attribute mfcc_sma[14]_quartile1 numeric
@attribute gender {m,f}

@data

178.7007,217.5508,214.2479,178.8399,200.0632,230.2825,156.8956,171.7238,61.25515,239.0464,0.852312,180.414,176.9005,237.0093,46.47184,-7.468521,2158.642,16.47726,-9.067137,-17.73328,0.852312,0.018029,-7.965086,0.748239,0.804699,2.324037,-13.72227,-30.36548,-1.195072,0.025354,2.777395,0.000643,0,2.309794,24.80804,616.4218,-1.799374,24.94674,-19.25899,f
153.4523,173.315,167.8504,161.6861,166.7149,185.2722,133.1551,147.9451,51.44048,209.9024,0.846272,162.5723,186.4465,213.7948,35.47881,4.435259,1230.702,22.35423,5.030648,-3.491475,0.846272,0.016447,6.027229,0.749116,0.775231,2.298497,-13.52071,-14.0513,12.96605,0.021456,2.021881,0.00046,129.7181,2.280583,9.759022,343.7849,-4.134823,18.63646,-15.23127,f
129.0382,149.1856,139.5209,136.2085,138.9234,152.2625,125.3721,134.1134,40.77213,157.5292,0.805257,138.1056,144.4796,159.1186,28.86896,8.06221,805.73,31.40129,4.423083,-4.65677,0.805257,0.030665,3.840926,0.745174,0.781683,2.262985,1.243668,-27.05977,13.90647,0.041688,2.064457,0.001738,84.74555,2.249432,12.39607,266.7215,-9.370593,16.42636,-5.707784,m
143.5102,160.6541,152.1246,147.9818,154.5482,160.7264,136.2113,142.0771,42.43938,237.6214,0.818511,149.2861,153.1193,185.015,32.29671,-1.191408,1031.874,41.88648,5.547654,-3.158214,0.440073,0.028387,5.35989,0.76324,0.79117,2.271027,-3.161574,-16.1634,13.23177,0.038331,0.607563,0.001462,132.4529,2.260923,12.72928,307.6722,-9.918757,17.57617,-8.487492,m
97.19999,116.8239,108.7545,107.2898,110.3073,122.3182,77.65244,104.3678,33.38147,145.9042,0.775145,97.26286,105.7725,166.1348,31.32697,-6.254704,981.3777,30.63411,-7.987413,-14.7879,0.775145,0.02767,-8.070759,0.698647,0.733013,2.248355,-3.628108,-30.49225,-1.840006,0.039932,1.668404,0.001592,0,2.19628,11.69897,241.9809,-10.18293,15.61343,-10.32214,m
103.5732,126.1596,112.0855,107.9507,110.2347,127.2738,85.977,104.1648,33.46558,159.5539,0.794822,99.1144,92.81027,188.6169,32.76406,-10.07291,1066.791,31.1592,-6.38898,-13.98882,0.794822,0.028903,-6.501153,0.723208,0.74793,2.234839,-0.922393,-31.28554,0.259002,0.038777,1.656659,0.001497,0,2.197141,12.47466,225.7656,-8.629931,15.08783,-9.708447,m
196.1921,221.645,196.72,204.1304,195.5476,223.4609,181.8656,171.1028,52.07643,248.1375,0.850051,175.6023,156.5727,251.0322,40.77606,-11.47767,1519.682,17.39757,-13.35507,-23.02923,0.850051,0.025538,-11.18962,0.790839,0.82277,2.302,-5.459374,-45.97005,-4.819177,0.032764,2.791043,0.001062,0,2.295059,39.0378,315.7849,-6.124228,17.80498,-18.93712,f
169.5711,186.7589,177.0245,176.2818,179.1918,187.3592,169.4483,172.4368,52.40741,203.1866,0.839785,176.1472,184.0926,205.8538,33.01141,-1.198319,1075.218,33.74109,-9.211616,-17.4223,0.839785,0.027618,-11.17779,0.791799,0.803577,2.275378,-10.14706,-35.41019,-2.598524,0.035555,1.311931,0.001264,159.3573,2.25306,14.31924,318.8837,0.232613,17.87172,-19.27379,f
158.5223,191.3167,180.7623,178.1443,175.0265,191.6977,123.9811,160.5698,58.23114,232.5147,0.853703,172.4662,177.4414,236.5482,52.09264,-17.63286,2648.078,11.6671,-12.31622,-20.35443,0.853703,0.020602,-12.01026,0.72641,0.759075,2.289867,-14.94163,-44.92184,-4.395248,0.028437,2.942217,0.000805,85.95636,2.283843,30.03392,624.3208,-4.929947,25.09682,-16.46647,f
175.2432,206.2615,199.6041,196.923,197.0292,207.879,147.0569,184.1784,57.91302,237.6397,0.833563,201.0421,218.535,242.4694,50.2721,-16.07011,2303.33,13.28814,-10.61596,-20.82213,0.833563,0.027287,-8.288872,0.738265,0.78246,2.280448,-11.03199,-38.77192,-0.702643,0.035784,1.885492,0.00128,161.3236,2.269991,15.85644,688.8841,-7.259174,26.28852,-14.22534,f
